year;length
1972.845123898005; 7.277925589288539
1973.8255216947348; 6.257978226165992
1975.854773992205; 8.096989918455984
1977.8165763018997; 7.996490874836407
1980.8780003739232; 7.698761739030388
1982.8920081112565; 6.4554959515625665
1983.9343908647693; 5.704054190096788
1985.9158960493578; 4.41744207786231
1986.935411962665; 3.0425840967598123
1987.8870464383817; 3.7541886586225246
1988.868738584557; 4.656321458875641
1989.9049372240518; 4.277163361281694
1992.8573483094358; 6.542016021169804
1994.9672817223477; 5.524024563876145
1996.8929860641708; 7.596623186113069
2001.9416679849855; 5.665971553075519