year;sample.size;length;SE
1973;321;77.92;0.19
1974;387;71.02;0.10
1975;79;68.42;0.19
1976;395;70.12;0.10
1977;276;75.23;0.11
1978;256;82.56;0.11
1979;212;73.89;0.13
1980;NA;NA;NA
1981;262;85.81;0.12
1982;109;71.18;0.14
1983;445;76.35;0.09
1984;370;78.16;0.11
1985;804;76.08;0.14
1986;155;68.95;0.17
1987;164;72.18;0.19
1988;709;66.38;0.23
1989;568;77.30;0.17
1990;450;78.54;0.20
1991;782;66.38;0.17
1992;599;66.37;0.15
1993;728;62.05;0.19
1994;756;63.89;0.19
1995;344;61.63;0.20
1996;852;68.52;0.17
1997;639;74.73;0.15
1998;2871;62.84;0.11
1999;1441;64.62;0.13
2000;1732;72.75;0.14
2001;1852;61.62;0.15
2002;1592;65.46;0.10
2003;2280;60.00;0.11
2004;3425;50.75;0.09
2005;2777;54.07;0.08
2006;2055;54.61;0.09
2007;1541;49.99;0.11
2008;976;55.14;0.10
2009;1226;72.35;0.09
2010;1269;53.97;0.10
2011;1729;54.35;0.10
2012;2228;55.81;0.10
2013;1522;55.90;0.11
2014;1376;61.85;0.12
2015;2029;60.54;0.11